84 149
  1 68 6
  1 70 1
  1 71 1
  1 72 5
  2 72 6
  3 70 5
  3 72 1
  4 71 5
  4 72 1
  5 10 7
  5 62 1
  5 63 1
  5 64 6
  6 64 5
  6 65 1
  6 67 1
  6 68 1
  7 62 6
  7 64 1
  7 65 5
  8 63 6
  8 64 1
  8 67 5
  9 14 7
  9 57 1
  9 58 1
  9 59 5
  10 59 6
  10 60 1
  10 61 1
  11 57 5
  11 59 1
  11 60 6
  12 58 5
  12 59 1
  12 61 6
  13 18 7
  13 52 1
  13 53 1
  13 54 6
  14 54 5
  14 55 1
  14 56 1
  15 52 6
  15 54 1
  15 55 5
  16 53 6
  16 54 1
  16 56 5
  17 22 7
  17 47 1
  17 48 1
  17 49 5
  18 49 6
  18 50 1
  18 51 1
  19 47 5
  19 49 1
  19 50 6
  20 48 5
  20 49 1
  20 51 6
  21 26 7
  21 42 1
  21 43 1
  21 44 6
  22 44 5
  22 45 1
  22 46 1
  23 42 6
  23 44 1
  23 45 5
  24 43 6
  24 44 1
  24 46 5
  25 38 1
  25 39 5
  26 39 6
  26 40 1
  26 41 1
  27 39 1
  27 40 6
  28 38 5
  28 39 1
  28 41 6
  29 30 17
  29 31 1
  30 32 1
  31 32 17
  31 33 16
  32 34 16
  33 34 17
  33 36 1
  34 38 58
  35 36 17
  37 66 34
  40 42 7
  41 43 7
  45 47 7
  46 48 7
  50 52 7
  51 53 7
  55 57 7
  56 58 7
  60 62 7
  61 63 7
  65 66 1
  66 68 1
  66 70 6
  67 69 1
  68 69 1
  69 71 6
  1 73 100000
  2 73 100000
  3 73 100000
  4 73 100000
  5 74 100000
  6 74 100000
  7 74 100000
  8 74 100000
  9 75 100000
  10 75 100000
  11 75 100000
  12 75 100000
  13 76 100000
  14 76 100000
  15 76 100000
  16 76 100000
  17 77 100000
  18 77 100000
  19 77 100000
  20 77 100000
  21 78 100000
  22 78 100000
  23 78 100000
  24 78 100000
  25 79 100000
  26 79 100000
  27 79 100000
  28 79 100000
  29 80 100000
  30 80 100000
  31 81 100000
  32 81 100000
  33 82 100000
  34 82 100000
  35 83 100000
  36 83 100000
  37 84 100000

12

   73
   74
   75
   76
   77
   78
   79
   80
   81
   82
   83
   84
   
12

   73
   74
   75
   76
   77
   78
   79
   80
   81
   82
   83
   84


