189 353
  1 168 1
  1 169 9
  2 170 9
  3 168 9
  3 169 1
  4 59 55
  4 170 1
  5 150 41
  5 160 1
  5 162 1
  6 165 2
  6 167 3
  7 158 21
  7 161 5
  7 163 1
  7 164 7
  8 151 47
  8 163 3
  8 166 7
  9 153 1
  9 154 1
  9 156 5
  9 161 28
  10 155 7
  10 159 1
  11 133 6
  11 148 12
  12 132 18
  12 148 1
  12 152 23
  13 126 3
  13 130 1
  13 131 1
  14 16 1
  14 131 12
  14 149 21
  14 158 47
  15 16 12
  15 17 1
  15 130 1
  15 131 1
  16 18 1
  16 157 47
  17 18 12
  17 120 5
  17 128 1
  18 133 5
  19 99 5
  19 107 12
  20 107 1
  20 108 2
  21 23 10
  21 32 1
  21 60 3
  22 24 10
  22 61 2
  23 25 1
  23 62 3
  23 143 1
  24 26 1
  24 63 2
  25 64 3
  25 118 22
  25 142 1
  26 65 2
  26 147 14
  26 151 27
  27 30 9
  27 88 21
  27 97 1
  27 127 22
  28 30 6
  28 109 1
  28 113 2
  28 140 22
  29 30 1
  29 97 9
  29 101 2
  29 109 6
  30 134 22
  31 66 9
  31 105 21
  31 129 10
  32 67 2
  32 143 10
  33 34 2
  33 39 1
  33 77 1
  33 83 9
  34 40 1
  34 81 1
  34 85 9
  35 36 2
  35 83 6
  35 96 21
  36 85 6
  36 88 1
  36 97 21
  37 77 9
  37 83 1
  37 94 27
  38 81 9
  38 85 1
  38 88 6
  38 100 33
  39 40 2
  39 71 9
  39 76 1
  40 72 9
  40 79 1
  41 71 1
  41 76 9
  42 72 1
  42 79 9
  42 92 33
  43 44 2
  43 51 1
  43 84 1
  43 89 9
  44 52 1
  44 87 1
  44 90 9
  45 46 2
  45 89 6
  45 91 1
  46 90 6
  47 84 9
  47 89 1
  47 91 6
  48 87 9
  48 90 1
  49 50 2
  49 55 5
  49 74 1
  49 78 6
  50 56 5
  50 75 1
  50 80 6
  51 52 2
  51 78 9
  51 82 1
  52 80 9
  52 86 1
  53 74 6
  53 78 1
  53 82 9
  54 75 6
  54 80 1
  54 86 9
  55 56 2
  55 68 6
  55 70 1
  56 69 6
  56 73 1
  57 68 1
  57 70 6
  58 69 1
  58 73 6
  60 61 12
  60 62 10
  61 63 10
  62 63 12
  62 64 1
  63 65 1
  64 65 12
  64 125 22
  65 145 14
  66 67 6
  66 135 10
  67 141 10
  68 69 2
  70 74 5
  71 72 2
  73 75 5
  76 77 1
  78 80 2
  79 81 1
  79 93 33
  81 95 33
  82 84 1
  83 85 2
  86 87 1
  88 105 33
  89 90 2
  91 92 21
  92 93 9
  93 95 1
  94 96 1
  94 98 9
  95 100 9
  96 97 2
  96 101 9
  98 101 1
  98 104 6
  99 102 1
  99 115 12
  100 105 6
  101 106 6
  102 103 1
  102 119 12
  103 104 16
  103 121 12
  103 123 13
  104 106 1
  106 109 2
  107 110 2
  107 115 5
  108 110 1
  108 112 3
  109 111 2
  110 116 3
  110 122 5
  111 113 1
  111 114 1
  112 116 1
  112 117 1
  113 118 1
  113 142 22
  114 118 1
  114 123 3
  115 119 1
  115 122 2
  116 120 1
  116 128 5
  117 120 1
  117 132 12
  118 125 3
  119 121 1
  119 124 2
  120 133 12
  121 126 2
  121 136 13
  122 124 1
  122 128 3
  123 125 1
  123 136 12
  124 126 1
  124 130 3
  125 137 12
  126 138 13
  127 129 1
  127 134 9
  128 130 1
  129 135 9
  132 133 1
  134 135 1
  134 140 6
  135 141 6
  136 137 1
  136 138 2
  137 139 2
  137 144 7
  138 139 1
  139 146 7
  140 141 1
  140 142 2
  141 143 2
  142 143 1
  144 145 1
  144 146 2
  145 147 2
  146 147 1
  146 149 16
  147 150 16
  148 153 23
  149 150 1
  149 160 41
  150 151 3
  152 153 1
  152 154 1
  153 160 28
  154 155 5
  155 156 1
  156 157 6
  156 159 7
  157 158 1
  159 164 28
  160 161 1
  161 162 1
  162 163 5
  163 165 7
  164 165 1
  165 166 3
  166 167 2
  167 168 33
  169 170 2
  1 171 100000
  2 171 100000
  3 171 100000
  4 171 100000
  5 172 100000
  6 172 100000
  7 172 100000
  8 172 100000
  9 173 100000
  10 173 100000
  11 174 100000
  12 174 100000
  13 175 100000
  14 175 100000
  15 176 100000
  16 176 100000
  17 177 100000
  18 177 100000
  19 178 100000
  20 178 100000
  21 179 100000
  22 179 100000
  23 180 100000
  24 180 100000
  25 181 100000
  26 181 100000
  27 182 100000
  28 182 100000
  29 182 100000
  30 182 100000
  31 183 100000
  32 183 100000
  33 184 100000
  34 184 100000
  35 184 100000
  36 184 100000
  37 184 100000
  38 184 100000
  39 185 100000
  40 185 100000
  41 185 100000
  42 185 100000
  43 186 100000
  44 186 100000
  45 186 100000
  46 186 100000
  47 186 100000
  48 186 100000
  49 187 100000
  50 187 100000
  51 187 100000
  52 187 100000
  53 187 100000
  54 187 100000
  55 188 100000
  56 188 100000
  57 188 100000
  58 188 100000
  59 189 100000
  60 179 100000
  61 179 100000
  62 180 100000
  63 180 100000
  64 181 100000
  65 181 100000
  66 183 100000
  67 183 100000

19

 171
 172
 173
 174
 175
 176
 177
 178
 179
 180
 181
 182
 183
 184
 185
 186
 187
 188
 189


19

 171
 172
 173
 174
 175
 176
 177
 178
 179
 180
 181
 182
 183
 184
 185
 186
 187
 188
 189
