262 487
 1 236 1
 1 237 1
 1 238 9
 2 227 49
 2 238 6
 3 225 47
 3 237 9
 3 238 1
 4 238 3
 5 6 10
 5 17 7
 5 158 3
 5 170 3
 6 18 7
 6 192 3
 7 173 10
 7 192 1
 8 9 10
 8 143 3
 9 153 3
 10 153 1
 10 159 6
 11 193 46
 11 208 1
 11 210 1
 11 211 2
 12 212 10
 12 213 1
 12 226 40
 13 14 10
 13 191 4
 13 193 2
 13 211 46
 14 197 4
 14 213 46
 15 83 2
 15 175 1
 15 181 1
 15 182 1
 16 188 10
 16 195 1
 16 196 1
 17 18 10
 17 147 7
 17 152 3
 18 20 7
 18 173 1
 19 147 3
 19 152 7
 20 147 10
 20 153 6
 20 159 1
 21 229 1
 22 23 2
 22 217 45
 22 233 2
 23 234 2
 23 236 1
 23 237 1
 24 214 44
 24 228 5
 24 230 1
 24 232 7
 25 231 1
 25 235 7
 26 148 1
 26 149 1
 26 155 6
 27 149 1
 27 157 6
 27 198 53
 28 83 1
 28 155 9
 28 166 1
 28 175 2
 29 83 1
 29 157 9
 29 178 1
 29 180 2
 30 148 6
 30 154 2
 30 155 1
 30 166 9
 31 157 2
 31 174 7
 31 200 50
 32 199 41
 32 214 5
 32 228 44
 33 203 40
 33 215 1
 33 216 2
 34 39 7
 34 138 1
 34 139 1
 34 140 6
 35 140 5
 35 141 1
 35 142 1
 35 145 6
 36 138 6
 36 140 1
 36 141 5
 37 139 6
 37 140 1
 37 142 5
 38 43 7
 38 133 1
 38 134 1
 38 135 5
 39 135 6
 39 136 1
 39 137 1
 40 133 5
 40 135 1
 40 136 6
 41 134 5
 41 135 1
 41 137 6
 42 47 7
 42 128 1
 42 129 1
 42 130 6
 43 130 5
 43 131 1
 43 132 1
 44 128 6
 44 130 1
 44 131 5
 45 129 6
 45 130 1
 45 132 5
 46 51 7
 46 123 1
 46 124 1
 46 125 5
 47 125 6
 47 126 1
 47 127 1
 48 123 5
 48 125 1
 48 126 6
 49 124 5
 49 125 1
 49 127 6
 50 55 7
 50 118 1
 50 119 1
 50 120 6
 51 120 5
 51 121 1
 51 122 1
 52 118 6
 52 120 1
 52 121 5
 53 119 6
 53 120 1
 53 122 5
 54 59 7
 54 113 1
 54 114 1
 54 115 5
 55 115 6
 55 116 1
 55 117 1
 56 113 5
 56 115 1
 56 116 6
 57 114 5
 57 115 1
 57 117 6
 58 63 7
 58 108 1
 58 109 1
 58 110 6
 59 110 5
 59 111 1
 59 112 1
 60 108 6
 60 110 1
 60 111 5
 61 109 6
 61 110 1
 61 112 5
 62 67 7
 62 103 1
 62 104 1
 62 105 5
 63 105 6
 63 106 1
 63 107 1
 64 103 5
 64 105 1
 64 106 6
 65 104 5
 65 105 1
 65 107 6
 66 71 7
 66 98 1
 66 99 1
 66 100 6
