177 354
   1 3 1
   1 160 12
   2 160 1
   3 4 12
   3 5 1
   4 6 1
   4 160 1
   5 6 12
   5 159 52
   7 8 2
   7 14 1
   7 152 1
   7 155 9
   8 15 1
   8 154 1
   8 156 9
   9 155 6
   9 157 1
   9 158 2
   10 152 9
   10 155 1
   10 157 6
   11 154 9
   11 156 1
   11 159 6
   12 13 2
   12 20 5
   12 147 1
   12 149 6
   13 21 5
   13 148 1
   13 150 6
   14 15 2
   14 149 9
   14 151 1
   15 150 9
   15 153 1
   16 147 6
   16 149 1
   16 151 9
   17 148 6
   17 150 1
   17 153 9
   18 19 2
   18 26 1
   18 140 1
   18 143 9
   19 27 1
   19 142 1
   19 144 9
   20 21 2
   20 143 6
   20 145 1
   21 144 6
   21 146 1
   22 140 9
   22 143 1
   22 145 6
   23 142 9
   23 144 1
   23 146 6
   24 25 2
   24 32 5
   24 135 1
   24 137 6
   25 33 5
   25 136 1
   25 138 6
   26 27 2
   26 137 9
   26 139 1
   27 138 9
   27 141 1
   28 135 6
   28 137 1
   28 139 9
   29 136 6
   29 138 1
   29 141 9
   30 31 2
   30 38 1
   30 128 1
   30 131 9
   31 39 1
   31 130 1
   31 132 9
   32 33 2
   32 131 6
   32 133 1
   33 132 6
   33 134 1
   34 128 9
   34 131 1
   34 133 6
   35 130 9
   35 132 1
   35 134 6
   36 37 2
   36 44 5
   36 123 1
   36 125 6
   37 45 5
   37 124 1
   37 126 6
   38 39 2
   38 125 9
   38 127 1
   39 126 9
   39 129 1
   40 123 6
   40 125 1
   40 127 9
   41 124 6
   41 126 1
   41 129 9
   42 43 2
   42 50 1
   42 116 1
   42 119 9
   43 51 1
   43 118 1
   43 120 9
   44 45 2
   44 119 6
   44 121 1
   45 120 6
   45 122 1
   46 116 9
   46 119 1
   46 121 6
   47 118 9
   47 120 1
   47 122 6
   48 49 2
   48 56 5
   48 111 1
   48 113 6
   49 57 5
   49 112 1
   49 114 6
   50 51 2
   50 113 9
   50 115 1
   51 114 9
   51 117 1
   52 111 6
   52 113 1
   52 115 9
   53 112 6
   53 114 1
   53 117 9
   54 55 2
   54 62 1
   54 104 1
   54 107 9
   55 63 1
   55 106 1
   55 108 9
   56 57 2
   56 107 6
   56 109 1
   57 108 6
   57 110 1
   58 104 9
   58 107 1
   58 109 6
   59 106 9
   59 108 1
   59 110 6
   60 61 2
   60 68 5
   60 99 1
   60 101 6
   61 69 5
   61 100 1
   61 102 6
   62 63 2
   62 101 9
   62 103 1
   63 102 9
   63 105 1
   64 99 6
   64 101 1
   64 103 9
   65 100 6
   65 102 1
   65 105 9
   66 67 2
   66 74 1
   66 92 1
   66 95 9
   67 75 1
   67 94 1
   67 96 9
   68 69 2
   68 95 6
   68 97 1
   69 96 6
   69 98 1
   70 92 9
   70 95 1
   70 97 6
   71 94 9
   71 96 1
   71 98 6
   72 73 2
   72 78 5
   72 87 1
   72 89 6
   73 79 5
   73 88 1
   73 90 6
   74 75 2
   74 89 9
   74 91 1
   75 90 9
   75 93 1
   76 87 6
   76 89 1
   76 91 9
   77 88 6
   77 90 1
   77 93 9
   78 79 2
   78 83 6
   78 85 1
   79 84 6
   79 86 1
   80 83 1
   80 85 6
   81 84 1
   81 86 6
   82 157 168
   83 84 2
   85 87 5
   86 88 5
   89 90 2
   91 92 1
   93 94 1
   95 96 2
   97 99 5
   98 100 5
   101 102 2
   103 104 1
   105 106 1
   107 108 2
   109 111 5
   110 112 5
   113 114 2
   115 116 1
   117 118 1
   119 120 2
   121 123 5
   122 124 5
   125 126 2
   127 128 1
   129 130 1
   131 132 2
   133 135 5
   134 136 5
   137 138 2
   139 140 1
   141 142 1
   143 144 2
   145 147 5
   146 148 5
   149 150 2
   151 152 1
   153 154 1
   155 156 2
   156 158 6
   158 159 1
   1 161 100000
   2 161 100000
   3 162 100000
   4 162 100000
   5 163 100000
   6 163 100000
   7 164 100000
   8 164 100000
   9 164 100000
   10 164 100000
   11 164 100000
   12 165 100000
   13 165 100000
   14 165 100000
   15 165 100000
   16 165 100000
   17 165 100000
   18 166 100000
   19 166 100000
   20 166 100000
   21 166 100000
   22 166 100000
   23 166 100000
   24 167 100000
   25 167 100000
   26 167 100000
   27 167 100000
   28 167 100000
   29 167 100000
   30 168 100000
   31 168 100000
   32 168 100000
   33 168 100000
   34 168 100000
   35 168 100000
   36 169 100000
   37 169 100000
   38 169 100000
   39 169 100000
   40 169 100000
   41 169 100000
   42 170 100000
   43 170 100000
   44 170 100000
   45 170 100000
   46 170 100000
   47 170 100000
   48 171 100000
   49 171 100000
   50 171 100000
   51 171 100000
   52 171 100000
   53 171 100000
   54 172 100000
   55 172 100000
   56 172 100000
   57 172 100000
   58 172 100000
   59 172 100000
   60 173 100000
   61 173 100000
   62 173 100000
   63 173 100000
   64 173 100000
   65 173 100000
   66 174 100000
   67 174 100000
   68 174 100000
   69 174 100000
   70 174 100000
   71 174 100000
   72 175 100000
   73 175 100000
   74 175 100000
   75 175 100000
   76 175 100000
   77 175 100000
   78 176 100000
   79 176 100000
   80 176 100000
   81 176 100000
   82 177 100000


17

 161
 162
 163
 164
 165
 166
 167
 168
 169
 170
 171
 172
 173
 174
 175
 176
 177


17

 161
 162
 163
 164
 165
 166
 167
 168
 169
 170
 171
 172
 173
 174
 175
 176
 177
