245 454
   1 158 2
   1 162 1
   2 3 1
   2 174 2
   2 178 1
   3 177 2
   4 5 10
   4 141 3
   4 144 2
   4 152 1
   5 166 3
   5 171 2
   5 172 2
   6 160 5
   6 164 2
   6 167 1
   7 100 2
   7 103 1
   7 115 3
   7 135 10
   8 9 1
   8 123 3
   8 125 2
   9 131 2
   9 142 1
   10 11 10
   10 88 2
   10 91 1
   10 101 3
   11 110 4
   11 123 2
   11 125 3
   12 110 2
   12 114 1
   12 123 4
   13 218 6
   13 220 1
   13 221 1
   13 222 6
   14 204 81
   14 222 5
   15 200 80
   15 220 6
   15 222 1
   16 221 6
   16 222 1
   17 24 5
   17 109 3
   17 118 1
   17 120 2
   18 120 10
   18 145 3
   18 156 1
   18 160 2
   19 157 6
   19 165 2
   19 175 5
   19 182 10
   20 179 6
   20 182 2
   20 189 5
   20 200 12
   21 108 3
   21 111 2
   21 126 5
   21 146 10
   22 143 3
   22 146 2
   22 163 5
   23 69 2
   23 71 1
   23 77 2
   23 99 10
   24 26 3
   24 96 2
   24 106 1
   25 62 3
   25 63 2
   25 71 3
   25 90 10
   26 87 3
   26 90 2
   26 109 5
   27 207 36
   27 223 5
   28 223 6
   28 225 1
   29 210 35
   29 223 1
   29 224 5
   30 223 1
   31 32 1
   31 180 3
   31 184 2
   32 185 2
   33 195 1
   33 201 1
   33 211 66
   34 165 5
   34 175 2
   34 180 4
   35 36 10
   35 175 4
   35 180 2
   35 184 3
   36 187 4
   36 192 1
   36 194 3
   37 38 1
   37 136 3
   37 150 2
   38 149 1
   38 153 2
   39 157 10
   39 170 1
   39 179 2
   39 182 6
   40 111 5
   40 126 2
   40 136 4
   41 42 10
   41 126 4
   41 136 2
   41 150 3
   42 161 4
   42 168 2
   42 169 3
   43 44 1
   43 80 3
   43 93 2
   44 92 1
   44 95 2
   45 98 10
   45 121 1
   45 127 1
   45 133 2
   46 47 2
   46 69 2
   46 77 2
   47 80 1
   47 84 2
   48 86 10
   48 112 1
   48 117 2
   48 119 3
   49 50 1
   49 56 3
   49 59 2
   50 58 1
   50 60 2
   51 61 10
   51 68 1
   51 73 2
   51 74 3
   52 53 2
   52 72 21
   53 56 1
   53 76 21
   54 57 10
   54 64 1
   54 79 9
   55 72 47
   55 114 38
   56 57 2
   57 59 3
   58 61 2
   58 63 8
   59 60 1
   59 65 10
   60 61 1
   60 68 10
   61 62 5
   62 81 10
   63 67 3
   64 65 2
   64 66 2
   65 68 1
   65 70 2
   66 70 2
   66 75 5
   67 69 1
   67 71 2
   68 91 9
   70 73 2
   70 89 7
   71 96 10
   72 76 2
   73 82 3
   73 88 5
   74 78 1
   74 82 2
   75 83 2
   75 88 4
   76 79 1
   77 84 2
   77 105 10
   78 81 1
   78 85 2
   79 83 1
   79 107 10
   80 86 2
   81 87 2
   81 90 3
   82 85 1
   82 94 5
   83 89 2
   83 110 10
   84 86 1
   84 112 10
   85 87 1
   85 97 5
   86 93 3
   87 100 5
   88 94 3
   89 91 1
   90 96 3
   92 98 2
   92 111 6
   93 95 1
   93 119 10
   94 97 1
   94 101 2
   95 98 1
   95 121 10
   96 99 1
   97 100 1
   97 103 2
   98 102 1
   99 105 2
   99 106 2
   100 109 3
   101 103 1
   101 125 10
   102 104 1
   102 127 10
   103 131 10
   104 108 1
   104 132 10
   105 112 2
   105 113 2
   106 113 2
   106 118 5
   107 110 1
   107 114 2
   108 137 10
   109 115 2
   112 116 2
   113 116 2
   113 130 7
   115 120 3
   115 145 10
   116 117 1
   116 129 5
   117 124 3
   117 134 5
   118 122 2
   118 129 4
   119 121 1
   119 124 2
   120 122 1
   121 128 2
   122 130 2
   122 156 10
   124 128 1
   124 144 5
   125 131 1
   126 161 10
   127 132 1
   127 138 2
   128 133 1
   128 147 5
   129 134 1
   129 139 2
   130 139 2
   131 135 1
   132 137 1
   132 140 2
   133 138 1
   133 148 5
   134 141 2
   134 144 3
   135 142 2
   135 145 3
   137 143 2
   137 146 3
   138 140 1
   138 151 5
   139 141 1
   139 164 10
   140 143 1
   140 154 5
   141 166 10
   142 160 6
   143 158 5
   144 147 1
   146 161 5
   147 148 1
   147 152 2
   148 151 1
   148 155 2
   149 157 2
   149 165 6
   150 153 1
   150 169 10
   151 154 1
   151 159 2
   152 155 1
   153 157 1
   153 170 10
   154 158 1
   154 162 2
   155 159 1
   155 171 10
   156 164 4
   158 183 17
   159 162 1
   159 174 10
   161 163 2
   162 177 10
   163 168 4
   164 166 1
   166 167 2
   167 172 3
   168 173 3
   168 186 12
   169 170 1
   169 173 2
   170 176 2
   171 174 1
   171 178 2
   172 178 2
   173 176 1
   174 177 1
   175 181 5
   176 179 1
   177 191 13
   179 183 5
   181 187 5
   181 208 75
   182 187 5
   183 190 7
   183 220 87
   184 185 1
   184 194 10
   185 195 10
   185 205 67
   186 190 5
   186 191 5
   187 188 1
   188 189 1
   188 192 4
   189 193 4
   190 197 5
   190 200 6
   191 197 5
   192 193 1
   192 196 3
   193 199 3
   194 195 1
   194 196 1
   195 198 1
   196 198 1
   196 199 1
   197 204 6
   198 201 1
   198 202 1
   199 202 1
   200 204 5
   201 203 1
   201 213 66
   202 203 1
   203 216 66
   205 206 1
   205 208 5
   206 207 1
   206 209 5
   207 210 5
   208 209 1
   208 211 5
   209 210 1
   209 212 5
   210 214 5
   211 212 1
   211 213 1
   212 214 1
   212 215 1
   213 215 1
   213 216 1
   214 217 1
   214 224 35
   215 217 1
   215 218 1
   216 218 1
   216 220 6
   217 219 1
   217 225 35
   218 219 1
   219 221 6
   224 225 1
   1 226 100000
   2 226 100000
   3 226 100000
   4 227 100000
   5 227 100000
   6 227 100000
   7 228 100000
   8 228 100000
   9 228 100000
   10 229 100000
   11 229 100000
   12 229 100000
   13 230 100000
   14 230 100000
   15 230 100000
   16 230 100000
   17 231 100000
   18 231 100000
   19 232 100000
   20 232 100000
   21 233 100000
   22 233 100000
   23 234 100000
   24 234 100000
   25 235 100000
   26 235 100000
   27 236 100000
   28 236 100000
   29 236 100000
   30 236 100000
   31 237 100000
   32 237 100000
   33 237 100000
   34 238 100000
   35 238 100000
   36 238 100000
   37 239 100000
   38 239 100000
   39 239 100000
   40 240 100000
   41 240 100000
   42 240 100000
   43 241 100000
   44 241 100000
   45 241 100000
   46 242 100000
   47 242 100000
   48 242 100000
   49 243 100000
   50 243 100000
   51 243 100000
   52 244 100000
   53 244 100000
   54 244 100000
   55 245 100000

20

  226
  227
  228
  229
  230
  231
  232
  233
  234
  235
  236
  237
  238
  239
  240
  241
  242
  243
  244
  245
  
  20

  226
  227
  228
  229
  230
  231
  232
  233
  234
  235
  236
  237
  238
  239
  240
  241
  242
  243
  244
  245
 
